Date,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Target
2024-03-25,2174.800048828125,2158.10009765625,2158.10009765625,2158.10009765625,2182.39990234375,2157.89990234375,2156.300048828125,2160.699951171875,2174.800048828125
2024-03-26,2175.60009765625,2174.800048828125,2158.10009765625,2158.10009765625,2158.10009765625,2182.39990234375,2157.89990234375,2156.300048828125,2175.60009765625
2024-03-27,2190.60009765625,2175.60009765625,2174.800048828125,2158.10009765625,2158.10009765625,2158.10009765625,2182.39990234375,2157.89990234375,2190.60009765625
2024-03-28,2217.39990234375,2190.60009765625,2175.60009765625,2174.800048828125,2158.10009765625,2158.10009765625,2158.10009765625,2182.39990234375,2217.39990234375
2024-03-29,2217.39990234375,2217.39990234375,2190.60009765625,2175.60009765625,2174.800048828125,2158.10009765625,2158.10009765625,2158.10009765625,2217.39990234375
2024-03-30,2217.39990234375,2217.39990234375,2217.39990234375,2190.60009765625,2175.60009765625,2174.800048828125,2158.10009765625,2158.10009765625,2217.39990234375
2024-03-31,2217.39990234375,2217.39990234375,2217.39990234375,2217.39990234375,2190.60009765625,2175.60009765625,2174.800048828125,2158.10009765625,2217.39990234375
2024-04-01,2236.5,2217.39990234375,2217.39990234375,2217.39990234375,2217.39990234375,2190.60009765625,2175.60009765625,2174.800048828125,2236.5
2024-04-02,2261.0,2236.5,2217.39990234375,2217.39990234375,2217.39990234375,2217.39990234375,2190.60009765625,2175.60009765625,2261.0
2024-04-03,2294.39990234375,2261.0,2236.5,2217.39990234375,2217.39990234375,2217.39990234375,2217.39990234375,2190.60009765625,2294.39990234375
2024-04-04,2288.800048828125,2294.39990234375,2261.0,2236.5,2217.39990234375,2217.39990234375,2217.39990234375,2217.39990234375,2288.800048828125
2024-04-05,2325.699951171875,2288.800048828125,2294.39990234375,2261.0,2236.5,2217.39990234375,2217.39990234375,2217.39990234375,2325.699951171875
2024-04-06,2325.699951171875,2325.699951171875,2288.800048828125,2294.39990234375,2261.0,2236.5,2217.39990234375,2217.39990234375,2325.699951171875
2024-04-07,2325.699951171875,2325.699951171875,2325.699951171875,2288.800048828125,2294.39990234375,2261.0,2236.5,2217.39990234375,2325.699951171875
2024-04-08,2331.699951171875,2325.699951171875,2325.699951171875,2325.699951171875,2288.800048828125,2294.39990234375,2261.0,2236.5,2331.699951171875
2024-04-09,2343.5,2331.699951171875,2325.699951171875,2325.699951171875,2325.699951171875,2288.800048828125,2294.39990234375,2261.0,2343.5
2024-04-10,2329.60009765625,2343.5,2331.699951171875,2325.699951171875,2325.699951171875,2325.699951171875,2288.800048828125,2294.39990234375,2329.60009765625
2024-04-11,2354.800048828125,2329.60009765625,2343.5,2331.699951171875,2325.699951171875,2325.699951171875,2325.699951171875,2288.800048828125,2354.800048828125
2024-04-12,2356.199951171875,2354.800048828125,2329.60009765625,2343.5,2331.699951171875,2325.699951171875,2325.699951171875,2325.699951171875,2356.199951171875
2024-04-13,2356.199951171875,2356.199951171875,2354.800048828125,2329.60009765625,2343.5,2331.699951171875,2325.699951171875,2325.699951171875,2356.199951171875
2024-04-14,2356.199951171875,2356.199951171875,2356.199951171875,2354.800048828125,2329.60009765625,2343.5,2331.699951171875,2325.699951171875,2356.199951171875
2024-04-15,2365.800048828125,2356.199951171875,2356.199951171875,2356.199951171875,2354.800048828125,2329.60009765625,2343.5,2331.699951171875,2365.800048828125
2024-04-16,2390.800048828125,2365.800048828125,2356.199951171875,2356.199951171875,2356.199951171875,2354.800048828125,2329.60009765625,2343.5,2390.800048828125
2024-04-17,2371.699951171875,2390.800048828125,2365.800048828125,2356.199951171875,2356.199951171875,2356.199951171875,2354.800048828125,2329.60009765625,2371.699951171875
2024-04-18,2382.300048828125,2371.699951171875,2390.800048828125,2365.800048828125,2356.199951171875,2356.199951171875,2356.199951171875,2354.800048828125,2382.300048828125
2024-04-19,2398.39990234375,2382.300048828125,2371.699951171875,2390.800048828125,2365.800048828125,2356.199951171875,2356.199951171875,2356.199951171875,2398.39990234375
2024-04-20,2398.39990234375,2398.39990234375,2382.300048828125,2371.699951171875,2390.800048828125,2365.800048828125,2356.199951171875,2356.199951171875,2398.39990234375
2024-04-21,2398.39990234375,2398.39990234375,2398.39990234375,2382.300048828125,2371.699951171875,2390.800048828125,2365.800048828125,2356.199951171875,2398.39990234375
2024-04-22,2332.199951171875,2398.39990234375,2398.39990234375,2398.39990234375,2382.300048828125,2371.699951171875,2390.800048828125,2365.800048828125,2332.199951171875
2024-04-23,2327.699951171875,2332.199951171875,2398.39990234375,2398.39990234375,2398.39990234375,2382.300048828125,2371.699951171875,2390.800048828125,2327.699951171875
2024-04-24,2324.5,2327.699951171875,2332.199951171875,2398.39990234375,2398.39990234375,2398.39990234375,2382.300048828125,2371.699951171875,2324.5
2024-04-25,2329.800048828125,2324.5,2327.699951171875,2332.199951171875,2398.39990234375,2398.39990234375,2398.39990234375,2382.300048828125,2329.800048828125
2024-04-26,2334.800048828125,2329.800048828125,2324.5,2327.699951171875,2332.199951171875,2398.39990234375,2398.39990234375,2398.39990234375,2334.800048828125
