Date,Close,Lag1,Lag2,Lag3,Lag4,Lag5,Lag6,Lag7,Target
2024-04-14,65738.7265625,63821.47265625,67195.8671875,70060.609375,70587.8828125,69139.015625,71631.359375,69362.5546875,65738.7265625
2024-04-15,63426.2109375,65738.7265625,63821.47265625,67195.8671875,70060.609375,70587.8828125,69139.015625,71631.359375,63426.2109375
2024-04-16,63811.86328125,63426.2109375,65738.7265625,63821.47265625,67195.8671875,70060.609375,70587.8828125,69139.015625,63811.86328125
2024-04-17,61276.69140625,63811.86328125,63426.2109375,65738.7265625,63821.47265625,67195.8671875,70060.609375,70587.8828125,61276.69140625
2024-04-18,63512.75390625,61276.69140625,63811.86328125,63426.2109375,65738.7265625,63821.47265625,67195.8671875,70060.609375,63512.75390625
2024-04-19,63843.5703125,63512.75390625,61276.69140625,63811.86328125,63426.2109375,65738.7265625,63821.47265625,67195.8671875,63843.5703125
2024-04-20,64994.44140625,63843.5703125,63512.75390625,61276.69140625,63811.86328125,63426.2109375,65738.7265625,63821.47265625,64994.44140625
2024-04-21,64926.64453125,64994.44140625,63843.5703125,63512.75390625,61276.69140625,63811.86328125,63426.2109375,65738.7265625,64926.64453125
2024-04-22,66837.6796875,64926.64453125,64994.44140625,63843.5703125,63512.75390625,61276.69140625,63811.86328125,63426.2109375,66837.6796875
2024-04-23,66407.2734375,66837.6796875,64926.64453125,64994.44140625,63843.5703125,63512.75390625,61276.69140625,63811.86328125,66407.2734375
2024-04-24,64276.8984375,66407.2734375,66837.6796875,64926.64453125,64994.44140625,63843.5703125,63512.75390625,61276.69140625,64276.8984375
2024-04-25,64481.70703125,64276.8984375,66407.2734375,66837.6796875,64926.64453125,64994.44140625,63843.5703125,63512.75390625,64481.70703125
2024-04-26,63755.3203125,64481.70703125,64276.8984375,66407.2734375,66837.6796875,64926.64453125,64994.44140625,63843.5703125,63755.3203125
2024-04-27,63419.140625,63755.3203125,64481.70703125,64276.8984375,66407.2734375,66837.6796875,64926.64453125,64994.44140625,63419.140625
2024-04-28,63113.23046875,63419.140625,63755.3203125,64481.70703125,64276.8984375,66407.2734375,66837.6796875,64926.64453125,63113.23046875
2024-04-29,63841.12109375,63113.23046875,63419.140625,63755.3203125,64481.70703125,64276.8984375,66407.2734375,66837.6796875,63841.12109375
2024-04-30,60636.85546875,63841.12109375,63113.23046875,63419.140625,63755.3203125,64481.70703125,64276.8984375,66407.2734375,60636.85546875
2024-05-01,58254.01171875,60636.85546875,63841.12109375,63113.23046875,63419.140625,63755.3203125,64481.70703125,64276.8984375,58254.01171875
2024-05-02,59123.43359375,58254.01171875,60636.85546875,63841.12109375,63113.23046875,63419.140625,63755.3203125,64481.70703125,59123.43359375
2024-05-03,62889.8359375,59123.43359375,58254.01171875,60636.85546875,63841.12109375,63113.23046875,63419.140625,63755.3203125,62889.8359375
2024-05-04,63891.47265625,62889.8359375,59123.43359375,58254.01171875,60636.85546875,63841.12109375,63113.23046875,63419.140625,63891.47265625
2024-05-05,64031.1328125,63891.47265625,62889.8359375,59123.43359375,58254.01171875,60636.85546875,63841.12109375,63113.23046875,64031.1328125
2024-05-06,63161.94921875,64031.1328125,63891.47265625,62889.8359375,59123.43359375,58254.01171875,60636.85546875,63841.12109375,63161.94921875
2024-05-07,62334.81640625,63161.94921875,64031.1328125,63891.47265625,62889.8359375,59123.43359375,58254.01171875,60636.85546875,62334.81640625
2024-05-08,61187.94140625,62334.81640625,63161.94921875,64031.1328125,63891.47265625,62889.8359375,59123.43359375,58254.01171875,61187.94140625
2024-05-09,63049.9609375,61187.94140625,62334.81640625,63161.94921875,64031.1328125,63891.47265625,62889.8359375,59123.43359375,63049.9609375
2024-05-10,60792.77734375,63049.9609375,61187.94140625,62334.81640625,63161.94921875,64031.1328125,63891.47265625,62889.8359375,60792.77734375
2024-05-11,60793.7109375,60792.77734375,63049.9609375,61187.94140625,62334.81640625,63161.94921875,64031.1328125,63891.47265625,60793.7109375
2024-05-12,61448.39453125,60793.7109375,60792.77734375,63049.9609375,61187.94140625,62334.81640625,63161.94921875,64031.1328125,61448.39453125
2024-05-13,62901.44921875,61448.39453125,60793.7109375,60792.77734375,63049.9609375,61187.94140625,62334.81640625,63161.94921875,62901.44921875
2024-05-14,61552.7890625,62901.44921875,61448.39453125,60793.7109375,60792.77734375,63049.9609375,61187.94140625,62334.81640625,61552.7890625
2024-05-15,66267.4921875,61552.7890625,62901.44921875,61448.39453125,60793.7109375,60792.77734375,63049.9609375,61187.94140625,66267.4921875
2024-05-16,65231.58203125,66267.4921875,61552.7890625,62901.44921875,61448.39453125,60793.7109375,60792.77734375,63049.9609375,65231.58203125
2024-05-17,67051.875,65231.58203125,66267.4921875,61552.7890625,62901.44921875,61448.39453125,60793.7109375,60792.77734375,67051.875
2024-05-18,66940.8046875,67051.875,65231.58203125,66267.4921875,61552.7890625,62901.44921875,61448.39453125,60793.7109375,66940.8046875
2024-05-19,66278.3671875,66940.8046875,67051.875,65231.58203125,66267.4921875,61552.7890625,62901.44921875,61448.39453125,66278.3671875
2024-05-20,71448.1953125,66278.3671875,66940.8046875,67051.875,65231.58203125,66267.4921875,61552.7890625,62901.44921875,71448.1953125
2024-05-21,70136.53125,71448.1953125,66278.3671875,66940.8046875,67051.875,65231.58203125,66267.4921875,61552.7890625,70136.53125
2024-05-22,69122.3359375,70136.53125,71448.1953125,66278.3671875,66940.8046875,67051.875,65231.58203125,66267.4921875,69122.3359375
2024-05-23,67929.5625,69122.3359375,70136.53125,71448.1953125,66278.3671875,66940.8046875,67051.875,65231.58203125,67929.5625
2024-05-24,68526.1015625,67929.5625,69122.3359375,70136.53125,71448.1953125,66278.3671875,66940.8046875,67051.875,68526.1015625
2024-05-25,69265.9453125,68526.1015625,67929.5625,69122.3359375,70136.53125,71448.1953125,66278.3671875,66940.8046875,69265.9453125
2024-05-26,68518.09375,69265.9453125,68526.1015625,67929.5625,69122.3359375,70136.53125,71448.1953125,66278.3671875,68518.09375
2024-05-27,69394.5546875,68518.09375,69265.9453125,68526.1015625,67929.5625,69122.3359375,70136.53125,71448.1953125,69394.5546875
2024-05-28,68296.21875,69394.5546875,68518.09375,69265.9453125,68526.1015625,67929.5625,69122.3359375,70136.53125,68296.21875
2024-05-29,67578.09375,68296.21875,69394.5546875,68518.09375,69265.9453125,68526.1015625,67929.5625,69122.3359375,67578.09375
2024-05-30,68364.9921875,67578.09375,68296.21875,69394.5546875,68518.09375,69265.9453125,68526.1015625,67929.5625,68364.9921875
2024-05-31,67491.4140625,68364.9921875,67578.09375,68296.21875,69394.5546875,68518.09375,69265.9453125,68526.1015625,67491.4140625
2024-06-01,67706.9375,67491.4140625,68364.9921875,67578.09375,68296.21875,69394.5546875,68518.09375,69265.9453125,67706.9375
2024-06-02,67751.6015625,67706.9375,67491.4140625,68364.9921875,67578.09375,68296.21875,69394.5546875,68518.09375,67751.6015625
2024-06-03,68804.78125,67751.6015625,67706.9375,67491.4140625,68364.9921875,67578.09375,68296.21875,69394.5546875,68804.78125
2024-06-04,70567.765625,68804.78125,67751.6015625,67706.9375,67491.4140625,68364.9921875,67578.09375,68296.21875,70567.765625
2024-06-05,71082.8203125,70567.765625,68804.78125,67751.6015625,67706.9375,67491.4140625,68364.9921875,67578.09375,71082.8203125
2024-06-06,70757.1640625,71082.8203125,70567.765625,68804.78125,67751.6015625,67706.9375,67491.4140625,68364.9921875,70757.1640625
2024-06-07,69342.5859375,70757.1640625,71082.8203125,70567.765625,68804.78125,67751.6015625,67706.9375,67491.4140625,69342.5859375
2024-06-08,69305.7734375,69342.5859375,70757.1640625,71082.8203125,70567.765625,68804.78125,67751.6015625,67706.9375,69305.7734375
2024-06-09,69647.9921875,69305.7734375,69342.5859375,70757.1640625,71082.8203125,70567.765625,68804.78125,67751.6015625,69647.9921875
2024-06-10,69512.28125,69647.9921875,69305.7734375,69342.5859375,70757.1640625,71082.8203125,70567.765625,68804.78125,69512.28125
