Date,Weekday,Predicted_Close_Simple,Predicted_Close_Residual,Predicted_Close_WeekdayAverage
2025-02-25,Tuesday,2368.81942475253,2368.81942475253,1976.9555960990288
2025-02-26,Wednesday,2369.442305611695,2369.442305611695,1970.2443557917377
2025-02-27,Thursday,2370.0651864708598,2370.0651864708598,1976.005876608456
2025-02-28,Friday,2370.6880673300248,2370.6880673300248,1981.3246033683656
2025-03-01,Saturday,2371.3109481891897,2371.3109481891897,1977.0273643378332
2025-03-02,Sunday,2371.9338290483543,2371.9338290483543,1977.0273643378332
2025-03-03,Monday,2372.5567099075192,2372.5567099075192,1981.0418784638755
