Date,Weekday,Predicted_Close_Simple,Predicted_Close_Residual,Predicted_Close_WeekdayAverage
2025-02-25,Tuesday,64711.574611760094,64711.57461176009,38943.507568359375
2025-02-26,Wednesday,64739.68266935265,64739.68266935264,39133.66079477163
2025-02-27,Thursday,64767.79072694521,64767.7907269452,38931.77063128592
2025-02-28,Friday,64795.898784537785,64795.89878453777,39023.00005051185
2025-03-01,Saturday,64824.006842130344,64824.00684213033,39043.642046815134
2025-03-02,Sunday,64852.1148997229,64852.11489972289,39064.551765295735
2025-03-03,Monday,64880.22295731546,64880.22295731545,39202.21416464619
