Date,Weekday,Predicted_Close_Simple,Predicted_Close_Residual,Predicted_Close_WeekdayAverage
2025-01-02,Thursday,2596.302890294089,2596.3028902940896,1949.329549318383
2025-01-03,Friday,2596.8575339003855,2596.857533900386,1954.5807365042265
2025-01-04,Saturday,2597.4121775066824,2597.412177506683,1952.0843415807506
2025-01-05,Sunday,2597.9668211129783,2597.966821112979,1952.0843415807506
2025-01-06,Monday,2598.521464719275,2598.5214647192756,1955.610572041919
2025-01-07,Tuesday,2599.0761083255716,2599.076108325572,1954.2781715998574
2025-01-08,Wednesday,2599.630751931868,2599.6307519318684,1946.9563969726562
